Suburb,Rooms,Type,Price,Year,Distance,CouncilArea
BENTLEIGH,4,t,1500000,2017,11,Glen Eira City Council
BENTLEIGH,3,h,1340000,2017,11,Glen Eira City Council
BENTLEIGH EAST,3,h,1400000,2017,13,Glen Eira City Council
BENTLEIGH EAST,2,t,775000,2017,13,Glen Eira City Council
BENTLEIGH EAST,3,t,920000,2017,13,Glen Eira City Council
BENTLEIGH EAST,2,h,1220000,2017,13,Glen Eira City Council
BENTLEIGH EAST,2,h,1130000,2017,13,Glen Eira City Council
BENTLEIGH EAST,4,h,1460000,2017,13,Glen Eira City Council
BLACK ROCK,4,h,3000000,2017,17,Bayside City Council
BLACKBURN,4,h,1200000,2017,13,Whitehorse City Council
BLACKBURN,4,h,1410000,2017,13,Whitehorse City Council
BLACKBURN,3,h,1110000,2017,13,Whitehorse City Council
BLACKBURN NORTH,4,h,960000,2017,13,Whitehorse City Council
BLACKBURN NORTH,5,h,1090000,2017,13,Whitehorse City Council
BLACKBURN SOUTH,3,h,980000,2017,13,Whitehorse City Council
BLACKBURN SOUTH,4,h,1925000,2017,13,Whitehorse City Council
BLACKBURN SOUTH,3,u,710000,2017,13,Whitehorse City Council
BONBEACH,4,h,985000,2017,27,Kingston City Council
BOX HILL,2,u,420000,2017,10,Whitehorse City Council
BRAYBROOK,3,h,500500,2017,8,Maribyrnong City Council
BRAYBROOK,2,h,490000,2017,8,Maribyrnong City Council
BRAYBROOK,2,t,500000,2017,8,Maribyrnong City Council
BRIGHTON,4,h,2250000,2017,10,Bayside City Council
BRIGHTON EAST,3,h,1958000,2017,10,Bayside City Council
BRIGHTON EAST,4,h,2137000,2017,10,Bayside City Council
BRIGHTON EAST,4,h,2975000,2017,10,Bayside City Council
BROADMEADOWS,3,h,457000,2017,14,Hume City Council
BRUNSWICK,2,h,740000,2017,5,Moreland City Council
BRUNSWICK,3,h,900000,2017,5,Moreland City Council
BRUNSWICK,4,h,1250000,2017,5,Moreland City Council
BRUNSWICK,2,h,1225000,2017,5,Moreland City Council
BRUNSWICK,3,h,1120000,2017,5,Moreland City Council
BRUNSWICK,2,t,560000,2017,5,Moreland City Council
BRUNSWICK,3,h,1685000,2017,5,Moreland City Council
BRUNSWICK,2,u,625000,2017,5,Moreland City Council
BRUNSWICK EAST,3,h,1470000,2017,4,Moreland City Council
BRUNSWICK EAST,2,h,860000,2017,4,Moreland City Council
BRUNSWICK WEST,3,t,900000,2017,5,Moreland City Council
BRUNSWICK WEST,2,u,398000,2017,5,Moreland City Council
BRUNSWICK WEST,2,h,576000,2017,5,Moreland City Council
BRUNSWICK WEST,4,h,1400000,2017,5,Moreland City Council
BRUNSWICK WEST,3,h,850000,2017,5,Moreland City Council
BULLEEN,4,h,1150000,2017,10,Manningham City Council
BUNDOORA,2,t,525000,2017,12,Banyule City Council
BUNDOORA,4,h,740000,2017,12,Banyule City Council
BUNDOORA,2,u,340000,2017,12,Banyule City Council
BURWOOD,5,h,1265000,2017,10,Monash City Council
BURWOOD,3,h,1000000,2017,10,Monash City Council
BURWOOD EAST,4,t,1460000,2017,14,Whitehorse City Council
BURWOOD EAST,4,t,1200000,2017,14,Whitehorse City Council
BURWOOD EAST,4,h,935000,2017,14,Whitehorse City Council
BURWOOD EAST,3,u,780000,2017,14,Whitehorse City Council
CAMBERWELL,2,u,868000,2017,7,Boroondara City Council
CAMBERWELL,3,t,1375000,2017,7,Boroondara City Council
CAMBERWELL,2,h,1235000,2017,7,Boroondara City Council
CAMBERWELL,3,h,1510000,2017,7,Boroondara City Council
CAMBERWELL,3,h,1520000,2017,7,Boroondara City Council
CAMBERWELL,2,u,835000,2017,7,Boroondara City Council
CAMBERWELL,2,u,495000,2017,7,Boroondara City Council
CAMBERWELL,4,h,2100500,2017,7,Boroondara City Council
CANTERBURY,5,h,3300000,2017,8,Boroondara City Council
CARLTON NORTH,2,h,1470000,2017,3,Melbourne City Council
CARLTON NORTH,3,h,2410000,2017,3,Melbourne City Council
CARNEGIE,4,h,1775000,2017,10,Glen Eira City Council
CARNEGIE,1,u,295000,2017,10,Glen Eira City Council
CAROLINE SPRINGS,4,h,629000,2017,14,Melton City Council
CAROLINE SPRINGS,2,t,406000,2017,14,Melton City Council
CARRUM,3,h,825000,2017,31,Kingston City Council
CARRUM DOWNS,4,h,581500,2017,34,Frankston City Council
CAULFIELD EAST,3,h,1400000,2017,8,Glen Eira City Council
CAULFIELD SOUTH,3,h,1538000,2017,8,Glen Eira City Council
CHADSTONE,3,h,1354000,2017,11,Monash City Council
CHELSEA,3,u,886000,2017,27,Kingston City Council
CLAYTON,7,h,4000000,2017,16,Monash City Council
CLAYTON,4,t,1010000,2017,16,Monash City Council
CLAYTON,2,t,697500,2017,16,Monash City Council
CLAYTON SOUTH,3,h,800000,2017,17,Kingston City Council
CLIFTON HILL,3,h,1805000,2017,3,Yarra City Council
CLIFTON HILL,3,h,1400000,2017,3,Yarra City Council
COBURG,3,h,1032500,2017,6,Darebin City Council
COBURG,3,h,1070000,2017,6,Darebin City Council
COBURG,3,h,1005000,2017,6,Darebin City Council
COBURG,2,h,905000,2017,6,Darebin City Council
COBURG,2,u,412000,2017,6,Darebin City Council
COBURG,1,u,333000,2017,6,Darebin City Council
COBURG,2,h,797500,2017,6,Darebin City Council
COBURG,2,u,430000,2017,6,Darebin City Council
COBURG NORTH,2,t,490000,2017,6,Darebin City Council
COBURG NORTH,4,h,960000,2017,6,Darebin City Council
COLLINGWOOD,2,u,960000,2017,2,Yarra City Council
CRAIGIEBURN,3,h,356500,2017,20,Hume City Council
CRAIGIEBURN,4,h,580500,2017,20,Hume City Council
CRAIGIEBURN,3,h,573000,2017,20,Hume City Council
CRAIGIEBURN,4,h,475000,2017,20,Hume City Council
CRAIGIEBURN,3,t,385000,2017,20,Hume City Council
CRANBOURNE NORTH,3,h,475000,2017,34,Casey City Council
CROYDON,3,t,744000,2017,23,Maroondah City Council
CROYDON,3,h,746000,2017,23,Maroondah City Council
CROYDON,3,h,965000,2017,23,Maroondah City Council
DALLAS,3,h,455500,2017,14,Hume City Council
DANDENONG,3,h,800000,2017,24,Greater Dandenong City Council
DANDENONG,3,h,610000,2017,24,Greater Dandenong City Council
DANDENONG NORTH,2,u,307000,2017,24,Greater Dandenong City Council
DEEPDENE,2,h,1610000,2017,7,Boroondara City Council
DEER PARK,5,h,589000,2017,14,Brimbank City Council
DEER PARK,4,h,603000,2017,14,Brimbank City Council
DELAHEY,3,h,335000,2017,18,Brimbank City Council
DIAMOND CREEK,4,h,730000,2017,21,Nillumbik Shire Council
DINGLEY VILLAGE,4,h,920000,2017,22,Kingston City Council
DINGLEY VILLAGE,3,h,770000,2017,22,Kingston City Council
DINGLEY VILLAGE,4,h,1140000,2017,22,Kingston City Council
DINGLEY VILLAGE,4,h,910000,2017,22,Kingston City Council
DINGLEY VILLAGE,4,h,883850,2017,22,Kingston City Council
DONCASTER,4,h,1556000,2017,12,Manningham City Council
DONCASTER EAST,4,h,1249000,2017,14,Manningham City Council
DONCASTER EAST,3,t,950000,2017,14,Manningham City Council
DONCASTER EAST,3,t,820000,2017,14,Manningham City Council
DONCASTER EAST,4,h,1730000,2017,14,Manningham City Council
DONVALE,3,h,1260000,2017,16,Manningham City Council
DONVALE,4,h,1300000,2017,16,Manningham City Council
EAGLEMONT,3,h,1820000,2017,8,Banyule City Council
EAST MELBOURNE,1,u,675000,2017,1,Melbourne City Council
EAST MELBOURNE,4,h,4150000,2017,1,Melbourne City Council
EDITHVALE,3,h,1130000,2017,27,Kingston City Council
ELSTERNWICK,3,t,1683000,2017,7,Glen Eira City Council
ELSTERNWICK,3,h,2250000,2017,7,Glen Eira City Council
ELTHAM,3,h,840500,2017,18,Banyule City Council
ELTHAM,3,h,900000,2017,18,Banyule City Council
ELTHAM,3,h,837000,2017,18,Banyule City Council
ELTHAM NORTH,4,h,1000000,2017,18,Banyule City Council
ELWOOD,2,u,800000,2017,7,Port Phillip City Council
ELWOOD,2,u,805000,2017,7,Port Phillip City Council
ELWOOD,4,h,2985000,2017,7,Port Phillip City Council
ENDEAVOUR HILLS,4,h,690000,2017,28,Casey City Council
EPPING,3,h,497000,2017,19,Whittlesea City Council
EPPING,3,h,507500,2017,19,Whittlesea City Council
EPPING,5,h,1010000,2017,19,Whittlesea City Council
ESSENDON,4,h,1930000,2017,7,Moonee Valley City Council
ESSENDON,4,h,1399000,2017,7,Moonee Valley City Council
ESSENDON,3,h,1512000,2017,7,Moonee Valley City Council
ESSENDON,4,h,2000000,2017,7,Moonee Valley City Council
ESSENDON,3,u,552000,2017,7,Moonee Valley City Council
ESSENDON,2,u,860000,2017,7,Moonee Valley City Council
ESSENDON NORTH,4,h,946000,2017,8,Moonee Valley City Council
ESSENDON WEST,3,h,1430000,2017,7,Moonee Valley City Council
FAIRFIELD,4,h,1270000,2017,5,Darebin City Council
FAWKNER,3,h,635000,2017,13,Hume City Council
FAWKNER,3,h,630000,2017,13,Hume City Council
FAWKNER,3,h,705000,2017,13,Hume City Council
FAWKNER,3,t,625000,2017,13,Hume City Council
FERNTREE GULLY,3,h,665508,2017,24,Knox City Council
FERNTREE GULLY,3,h,691000,2017,24,Knox City Council
FERNTREE GULLY,4,h,815000,2017,24,Knox City Council
FERNTREE GULLY,3,h,730000,2017,24,Knox City Council
FITZROY,1,u,720000,2017,2,Yarra City Council
FITZROY NORTH,3,h,1890000,2017,3,Moreland City Council
FITZROY NORTH,3,h,1454000,2017,3,Moreland City Council
FITZROY NORTH,4,h,2061000,2017,3,Moreland City Council
FITZROY NORTH,3,h,1310000,2017,3,Moreland City Council
FITZROY NORTH,2,u,995000,2017,3,Moreland City Council
FITZROY NORTH,4,h,3259000,2017,3,Moreland City Council
FITZROY NORTH,2,h,1325000,2017,3,Moreland City Council
FOOTSCRAY,1,u,331000,2017,5,Maribyrnong City Council
FOOTSCRAY,3,h,1000000,2017,5,Maribyrnong City Council
FOOTSCRAY,2,t,771000,2017,5,Maribyrnong City Council
FOREST HILL,3,h,1260000,2017,15,Whitehorse City Council
FRANKSTON,3,h,508000,2017,38,Frankston City Council
FRANKSTON,2,h,501500,2017,38,Frankston City Council
FRANKSTON NORTH,3,h,450000,2017,36,Frankston City Council
FRANKSTON SOUTH,4,h,351000,2017,38,Frankston City Council
GLADSTONE PARK,4,h,650000,2017,12,Hume City Council
GLEN IRIS,3,h,3730000,2017,7,Boroondara City Council
GLEN IRIS,3,h,1225000,2017,7,Boroondara City Council
GLEN IRIS,4,h,1500000,2017,7,Boroondara City Council
GLEN WAVERLEY,4,t,1100080,2017,16,Monash City Council
GLEN WAVERLEY,4,h,1520000,2017,16,Monash City Council
GLEN WAVERLEY,7,h,1716000,2017,16,Monash City Council
GLEN WAVERLEY,5,h,1100000,2017,16,Monash City Council
GLEN WAVERLEY,4,h,1467000,2017,16,Monash City Council
GLEN WAVERLEY,3,h,1600000,2017,16,Monash City Council
GLEN WAVERLEY,4,h,1311000,2017,16,Monash City Council
GLENROY,3,t,582000,2017,11,Moreland City Council
GOWANBRAE,3,h,536000,2017,12,Moreland City Council
GOWANBRAE,3,h,696000,2017,12,Moreland City Council
GREENSBOROUGH,3,h,757000,2017,16,Banyule City Council
GREENSBOROUGH,4,h,860000,2017,16,Banyule City Council
GREENSBOROUGH,3,h,768000,2017,16,Banyule City Council
GREENSBOROUGH,4,h,812000,2017,16,Banyule City Council
GREENSBOROUGH,3,h,782000,2017,16,Banyule City Council
GREENSBOROUGH,3,h,725000,2017,16,Banyule City Council
GREENSBOROUGH,4,h,680000,2017,16,Banyule City Council
GREENSBOROUGH,3,h,882000,2017,16,Banyule City Council
GREENVALE,4,h,632000,2017,20,Hume City Council
HADFIELD,4,h,812000,2017,11,Moreland City Council
HADFIELD,3,h,837000,2017,11,Moreland City Council
HADFIELD,3,h,473000,2017,11,Moreland City Council
HAMPTON,3,h,2288500,2017,13,Bayside City Council
HAMPTON,2,u,750000,2017,13,Bayside City Council
HAMPTON,3,t,1510000,2017,13,Bayside City Council
HAMPTON,3,h,1500000,2017,13,Bayside City Council
HAWTHORN,3,u,855000,2017,5,Boroondara City Council
HAWTHORN,2,u,490000,2017,5,Boroondara City Council
HAWTHORN,2,u,620000,2017,5,Boroondara City Council
HAWTHORN,2,u,600000,2017,5,Boroondara City Council
HAWTHORN,3,u,975000,2017,5,Boroondara City Council
HEIDELBERG,2,u,655000,2017,8,Banyule City Council
HEIDELBERG,4,h,1420000,2017,8,Banyule City Council
HEIDELBERG HEIGHTS,3,h,786000,2017,8,Banyule City Council
HEIDELBERG HEIGHTS,3,h,959000,2017,8,Banyule City Council
HEIDELBERG WEST,3,h,720000,2017,8,Banyule City Council
HIGHETT,3,h,1322000,2017,16,Bayside City Council
HILLSIDE,4,h,612500,2017,18,Brimbank City Council
HILLSIDE,4,h,630000,2017,18,Brimbank City Council
HOPPERS CROSSING,4,h,715000,2017,18,Wyndham City Council
HOPPERS CROSSING,4,h,686500,2017,18,Wyndham City Council
HUGHESDALE,2,h,1065000,2017,12,Monash City Council
HUGHESDALE,4,h,1355000,2017,12,Monash City Council
HUNTINGDALE,3,h,1145000,2017,12,Monash City Council
IVANHOE,2,h,792000,2017,7,Banyule City Council
IVANHOE,3,h,1440000,2017,7,Banyule City Council
IVANHOE,2,u,660000,2017,7,Banyule City Council
IVANHOE,3,h,1977000,2017,7,Banyule City Council
IVANHOE,3,h,1840000,2017,7,Banyule City Council
IVANHOE,4,h,1275000,2017,7,Banyule City Council
IVANHOE EAST,3,h,1781000,2017,7,Banyule City Council
JACANA,3,h,575000,2017,14,Hume City Council
JACANA,3,h,542000,2017,14,Hume City Council
KEILOR DOWNS,3,h,569000,2017,15,Brimbank City Council
KEILOR EAST,3,h,950000,2017,11,Brimbank City Council
KEILOR EAST,4,h,850000,2017,11,Brimbank City Council
KEILOR EAST,3,h,756000,2017,11,Brimbank City Council
KEILOR EAST,3,u,680000,2017,11,Brimbank City Council
KENSINGTON,1,u,360000,2017,3,Melbourne City Council
KENSINGTON,1,u,325000,2017,3,Melbourne City Council
KENSINGTON,4,h,1103000,2017,3,Melbourne City Council
KENSINGTON,2,h,901000,2017,3,Melbourne City Council
KEW,2,u,653000,2017,5,Boroondara City Council
KEW,3,h,2000000,2017,5,Boroondara City Council
KEW,4,h,1610000,2017,5,Boroondara City Council
KEW,4,h,2315000,2017,5,Boroondara City Council
KEW,3,h,1050000,2017,5,Boroondara City Council
KEW,3,h,2155000,2017,5,Boroondara City Council
KEW,3,u,830000,2017,5,Boroondara City Council
KEW EAST,4,h,1770000,2017,7,Boroondara City Council
KEYSBOROUGH,3,h,600000,2017,25,Greater Dandenong City Council
LALOR,3,h,592000,2017,16,Whittlesea City Council
MACLEOD,4,h,1120000,2017,12,Banyule City Council
MACLEOD,3,u,710000,2017,12,Banyule City Council
MACLEOD,3,h,915000,2017,12,Banyule City Council
MALVERN,1,u,360000,2017,5,Stonnington City Council
MALVERN,4,h,2400000,2017,5,Stonnington City Council
MALVERN,3,h,1350000,2017,5,Stonnington City Council
MALVERN,1,u,450000,2017,5,Stonnington City Council
MALVERN EAST,3,h,2000000,2017,8,Stonnington City Council
MALVERN EAST,3,t,1150000,2017,8,Stonnington City Council
MARIBYRNONG,3,h,813000,2017,4,Maribyrnong City Council
MARIBYRNONG,2,u,330000,2017,4,Maribyrnong City Council
MARIBYRNONG,5,h,1425000,2017,4,Maribyrnong City Council
MCKINNON,3,u,875000,2017,11,Glen Eira City Council
MCKINNON,2,h,1265000,2017,11,Glen Eira City Council
MCKINNON,3,h,1200000,2017,11,Glen Eira City Council
MEADOW HEIGHTS,3,h,520000,2017,17,Hume City Council
MELBOURNE,2,u,605000,2017,0,Melbourne City Council
MELBOURNE,2,u,649000,2017,0,Melbourne City Council
MELBOURNE,1,u,440000,2017,0,Melbourne City Council
MELTON,3,h,431000,2017,31,Melton City Council
MENTONE,4,h,1300000,2017,20,Kingston City Council
MENTONE,1,u,337000,2017,20,Kingston City Council
MERNDA,4,h,525500,2017,25,Whittlesea City Council
MIDDLE PARK,2,u,800000,2017,3,Port Phillip City Council
MILL PARK,3,h,425000,2017,17,Whittlesea City Council
MILL PARK,3,h,595500,2017,17,Whittlesea City Council
MILL PARK,3,h,660000,2017,17,Whittlesea City Council
MITCHAM,3,h,1300000,2017,17,Whitehorse City Council
MONTMORENCY,3,h,820000,2017,16,Banyule City Council
MONTMORENCY,3,h,725000,2017,16,Banyule City Council
MOONEE PONDS,2,h,1180000,2017,6,Moonee Valley City Council
MOONEE PONDS,2,h,910000,2017,6,Moonee Valley City Council
MOONEE PONDS,3,h,887500,2017,6,Moonee Valley City Council
MOONEE PONDS,3,h,1143000,2017,6,Moonee Valley City Council
MOONEE PONDS,3,h,1117500,2017,6,Moonee Valley City Council
MOONEE PONDS,3,h,1330000,2017,6,Moonee Valley City Council
MOORABBIN,2,h,800000,2017,14,Kingston City Council
MOORABBIN,5,h,1410000,2017,14,Kingston City Council
MOORABBIN,1,t,457500,2017,14,Kingston City Council
MOOROOLBARK,3,h,778000,2017,26,Yarra Ranges Shire Council
MORDIALLOC,3,t,822000,2017,21,Kingston City Council
MORDIALLOC,3,h,895000,2017,21,Kingston City Council
MORDIALLOC,4,h,1300000,2017,21,Kingston City Council
MOUNT WAVERLEY,2,u,568888,2017,14,Monash City Council
MOUNT WAVERLEY,5,h,3105000,2017,14,Monash City Council
MOUNT WAVERLEY,4,h,1500000,2017,14,Monash City Council
MOUNT WAVERLEY,3,t,1030000,2017,14,Monash City Council
MOUNT WAVERLEY,4,h,1275000,2017,14,Monash City Council
MOUNT WAVERLEY,3,h,1360000,2017,14,Monash City Council
MOUNT WAVERLEY,4,h,980000,2017,14,Monash City Council
MOUNT WAVERLEY,5,h,1601000,2017,14,Monash City Council
MOUNT WAVERLEY,4,h,1780000,2017,14,Monash City Council
MULGRAVE,3,h,630000,2017,18,Monash City Council
MULGRAVE,4,h,925000,2017,18,Monash City Council
MULGRAVE,3,h,868000,2017,18,Monash City Council
MULGRAVE,5,h,880000,2017,18,Monash City Council
MULGRAVE,3,h,920000,2017,18,Monash City Council
MURRUMBEENA,4,h,1550000,2017,10,Glen Eira City Council
MURRUMBEENA,2,u,720000,2017,10,Glen Eira City Council
MURRUMBEENA,2,u,586500,2017,10,Glen Eira City Council
NARRE WARREN,3,h,551000,2017,34,Casey City Council
NARRE WARREN,4,h,510000,2017,34,Casey City Council
NEWPORT,2,h,1032000,2017,6,Hobsons Bay City Council
NEWPORT,3,h,1270000,2017,6,Hobsons Bay City Council
NOBLE PARK,4,h,710000,2017,22,Greater Dandenong City Council
NORTH MELBOURNE,6,h,1815000,2017,1,Melbourne City Council
NORTH MELBOURNE,1,u,420000,2017,1,Melbourne City Council
NORTHCOTE,2,h,1200000,2017,5,Darebin City Council
NORTHCOTE,1,u,345000,2017,5,Darebin City Council
NORTHCOTE,3,t,1075000,2017,5,Darebin City Council
NORTHCOTE,3,h,1332000,2017,5,Darebin City Council
NUNAWADING,3,h,685000,2017,15,Manningham City Council
NUNAWADING,3,h,1185000,2017,15,Manningham City Council
NUNAWADING,3,h,806000,2017,15,Manningham City Council
OAK PARK,3,h,857000,2017,11,Moreland City Council
OAK PARK,4,h,945000,2017,11,Moreland City Council
OAKLEIGH,4,t,986000,2017,12,Monash City Council
OAKLEIGH SOUTH,2,h,1120000,2017,15,Kingston City Council
OAKLEIGH SOUTH,3,u,710000,2017,15,Kingston City Council
ORMOND,2,u,420000,2017,11,Glen Eira City Council
ORMOND,2,u,490000,2017,11,Glen Eira City Council
ORMOND,3,t,1100000,2017,11,Glen Eira City Council
PAKENHAM,3,h,378000,2017,47,Cardinia Shire Council
PARKDALE,3,h,1260000,2017,21,Kingston City Council
PARKDALE,3,h,1200000,2017,21,Kingston City Council
PARKDALE,2,u,669000,2017,21,Kingston City Council
PARKVILLE,1,u,668000,2017,1,Melbourne City Council
PASCOE VALE,4,h,945000,2017,8,Moreland City Council
PASCOE VALE,2,t,650000,2017,8,Moreland City Council
PASCOE VALE,4,h,1510000,2017,8,Moreland City Council
PASCOE VALE,2,t,522000,2017,8,Moreland City Council
PASCOE VALE,3,u,760000,2017,8,Moreland City Council
PASCOE VALE,3,h,930000,2017,8,Moreland City Council
PATTERSON LAKES,3,t,645000,2017,31,Kingston City Council
POINT COOK,3,h,641000,2017,14,Wyndham City Council
POINT COOK,4,h,720000,2017,14,Wyndham City Council
PORT MELBOURNE,2,u,625000,2017,3,Melbourne City Council
PORT MELBOURNE,3,h,1400000,2017,3,Melbourne City Council
PORT MELBOURNE,4,t,2090000,2017,3,Melbourne City Council
PORT MELBOURNE,1,u,505000,2017,3,Melbourne City Council
PORT MELBOURNE,3,h,1650000,2017,3,Melbourne City Council
PRAHRAN,1,u,311000,2017,4,Stonnington City Council
PRAHRAN,2,h,1325000,2017,4,Stonnington City Council
PRAHRAN,2,u,940000,2017,4,Stonnington City Council
PRESTON,3,t,893000,2017,8,Darebin City Council
PRESTON,2,u,410000,2017,8,Darebin City Council
PRESTON,3,t,640000,2017,8,Darebin City Council
PRESTON,3,h,1239500,2017,8,Darebin City Council
PRESTON,2,h,530000,2017,8,Darebin City Council
RESERVOIR,3,h,610000,2017,12,Darebin City Council
RESERVOIR,2,h,710000,2017,12,Darebin City Council
RESERVOIR,1,u,357500,2017,12,Darebin City Council
RESERVOIR,2,u,560000,2017,12,Darebin City Council
RESERVOIR,2,u,390000,2017,12,Darebin City Council
RESERVOIR,3,h,700000,2017,12,Darebin City Council
RESERVOIR,2,h,846000,2017,12,Darebin City Council
RESERVOIR,3,h,500000,2017,12,Darebin City Council
RESERVOIR,5,h,1100000,2017,12,Darebin City Council
RESERVOIR,2,t,655000,2017,12,Darebin City Council
RESERVOIR,2,h,520000,2017,12,Darebin City Council
RESERVOIR,3,h,850000,2017,12,Darebin City Council
RESERVOIR,3,h,886500,2017,12,Darebin City Council
RICHMOND,2,h,1110000,2017,2,Yarra City Council
RICHMOND,2,u,906000,2017,2,Yarra City Council
RICHMOND,2,t,1100000,2017,2,Yarra City Council
RICHMOND,2,u,610000,2017,2,Yarra City Council
RICHMOND,1,u,550000,2017,2,Yarra City Council
RICHMOND,2,u,514500,2017,2,Yarra City Council
RICHMOND,3,h,1619000,2017,2,Yarra City Council
RIDDELLS CREEK,3,h,410000,2017,47,Macedon Ranges Shire Council
RINGWOOD,3,h,739000,2017,19,Maroondah City Council
RINGWOOD EAST,4,h,901000,2017,21,Maroondah City Council
RINGWOOD EAST,3,h,700000,2017,21,Maroondah City Council
RINGWOOD NORTH,3,h,805000,2017,19,Manningham City Council
ROWVILLE,4,h,868200,2017,23,Knox City Council
ROXBURGH PARK,4,h,462000,2017,20,Hume City Council
ROXBURGH PARK,4,h,448000,2017,20,Hume City Council
ROXBURGH PARK,3,h,393500,2017,20,Hume City Council
SANDRINGHAM,3,h,1450000,2017,15,Bayside City Council
SCORESBY,3,h,821000,2017,22,Knox City Council
SEAFORD,4,h,701000,2017,35,Frankston City Council
SEDDON,3,h,865500,2017,5,Maribyrnong City Council
SEDDON,2,u,362000,2017,5,Maribyrnong City Council
SOUTH MELBOURNE,2,u,651000,2017,1,Port Phillip City Council
SOUTH MORANG,4,h,711000,2017,20,Whittlesea City Council
SOUTH MORANG,4,h,560000,2017,20,Whittlesea City Council
SOUTH MORANG,3,t,387000,2017,20,Whittlesea City Council
SOUTH MORANG,5,h,920000,2017,20,Whittlesea City Council
SOUTH MORANG,4,h,706000,2017,20,Whittlesea City Council
SOUTH YARRA,5,h,5000000,2017,2,Melbourne City Council
SOUTH YARRA,1,u,480000,2017,2,Melbourne City Council
SOUTH YARRA,2,u,495000,2017,2,Melbourne City Council
SOUTH YARRA,2,u,705000,2017,2,Melbourne City Council
SOUTH YARRA,1,u,392000,2017,2,Melbourne City Council
SOUTHBANK,2,u,630000,2017,0,Melbourne City Council
SPOTSWOOD,3,t,667500,2017,6,Hobsons Bay City Council
SPRINGVALE,3,h,860000,2017,20,Greater Dandenong City Council
ST ALBANS,4,h,860000,2017,14,Brimbank City Council
ST ALBANS,3,h,610000,2017,14,Brimbank City Council
ST ALBANS,3,h,605000,2017,14,Brimbank City Council
ST ALBANS,3,h,645000,2017,14,Brimbank City Council
ST ALBANS,1,h,1100000,2017,14,Brimbank City Council
ST KILDA,3,u,640000,2017,5,Port Phillip City Council
ST KILDA,2,u,501500,2017,5,Port Phillip City Council
STRATHMORE,3,t,890000,2017,8,Moonee Valley City Council
STRATHMORE,4,h,1301000,2017,8,Moonee Valley City Council
STRATHMORE HEIGHTS,3,h,900000,2017,8,Moonee Valley City Council
SUNSHINE,3,h,890000,2017,10,Brimbank City Council
SUNSHINE,2,u,430000,2017,10,Brimbank City Council
SUNSHINE,3,h,1200000,2017,10,Brimbank City Council
SUNSHINE,3,h,612000,2017,10,Brimbank City Council
SUNSHINE NORTH,3,h,732000,2017,10,Brimbank City Council
SUNSHINE NORTH,4,h,861800,2017,10,Brimbank City Council
